Dataset	Domain	Sent1	Sent2	Sent1_original	Sent2_original
STS2017	track6.tr-en	Two people cut some cake.	Two people who cut a cake.	Two people cut some cake.	bir pastayı kesen iki insan.
STS2017	track6.tr-en	Child bicycle race	Children participate in cycling	Child bicycle race	çocuk bisiklet yarışına katılır
STS2017	track6.tr-en	Skateboarder doing a trick.	A man who makes bicycle numbers.	Skateboarder doing a trick.	Bisikletle numaralar yapan bir adam.
STS2017	track6.tr-en	A child holds a kite and people watch.	A man is making balloon animals for a small children's group.	A child holds a kite and people watch.	Bir adam, bir küçük çocuk grubu için balon hayvanlar yapıyor.
STS2017	track6.tr-en	Laundry day for Mike.	Kitchen workers are preparing for dinner tonight.	Laundry day for Mike.	Mutfak çalışanları bu geceki yemek servisi için hazırlanıyor.
STS2017	track6.tr-en	The people are conversing about the weather	People are talking about the weather.	The people are conversing about the weather	İnsanlar hava hakkında konuşuyor.
STS2017	track6.tr-en	a man stands in a white ice cream truck.	A man is standing in an ice cream truck.	a man stands in a white ice cream truck.	Bir adam, bir dondurma kamyonunda ayakta duruyor.
STS2017	track6.tr-en	The men are doing this for fun.	The guys are having fun.	The men are doing this for fun.	Adamlar eğleniyor.
STS2017	track6.tr-en	Man shaving with a Gillette razor with a mirror.	The man who stood in front of the mirror and shaved with a disposable razor blade.	Man shaving with a Gillette razor with a mirror.	Aynanın önünde ayakta durarak tek kullanımlık bir tıraş bıçağıyla boynunu tıraş eden adam.
STS2017	track6.tr-en	The large bird is looking for food.	The man is now in a big coral.	The large bird is looking for food.	Adam şu an büyük bir mercanın içinde.
STS2017	track6.tr-en	the band is eating	The music group is sleeping.	the band is eating	Müzik grubu uyuyor.
STS2017	track6.tr-en	A dog ran away from home and seems lost out on the streets.	Children escape from a fire.	A dog ran away from home and seems lost out on the streets.	Çocuklar bir yangından kaçar.
STS2017	track6.tr-en	The little boy is getting dirty while he climbs on the tree limb.	The little girl runs away from the little boy.	The little boy is getting dirty while he climbs on the tree limb.	Küçük kız küçük oğlandan kaçıyor.
STS2017	track6.tr-en	A child running into his mother's arms.	The man pushes the baby cart with his free hand and carries her on the market.	A child running into his mother's arms.	Adam, boştaki eliyle bebek arabasını iterek kızını markette taşır.
STS2017	track6.tr-en	A human swims under the pool water.	A swimming pool is full of water.	A human swims under the pool water.	Bir yüzme havuzu suyla dolu.
STS2017	track6.tr-en	Nobody is shirtless.	Everyone has a shirt.	Nobody is shirtless.	Herkes gömleksiz.
STS2017	track6.tr-en	Two white dogs are running in a field with a horse in the background.	The two dogs are fighting for a rod in a grassy field, and there is a lake in the back.	Two white dogs are running in a field with a horse in the background.	İki köpek, çimenlik bir alanda bir çubuk için kavga ediyor, arkada bir göl var.
STS2017	track6.tr-en	Hundreds of people are gathered	Some people gathered.	Hundreds of people are gathered	Bazı insanlar toplandı.
STS2017	track6.tr-en	The men on a roller coaster.	Couple on a speed train.	The men on a roller coaster.	Çift, bir hız treninde.
STS2017	track6.tr-en	This waffle will be delicious.	This restaurant does not serve food.	This waffle will be delicious.	Bu restoran yiyecek servis etmez.
STS2017	track6.tr-en	A Houston baseball player has caught a ball and is now throwing the ball towards another team member.	A baseball player runs as a member of the opposing team lengthens to catch the ball.	A Houston baseball player has caught a ball and is now throwing the ball towards another team member.	Rakip takımın bir üyesi topu yakalamak için uzanırken bir beysbol oyuncusu koşar.
STS2017	track6.tr-en	The crowd cheers on the breakdancer as he shows off his dance moves.	The group gives a concert while the crowd cheers at them.	The crowd cheers on the breakdancer as he shows off his dance moves.	Kalabalık onlara tezahürat yaparken grup konser verir.
STS2017	track6.tr-en	A man next to a police officer is walking away from another man.	A man is carrying two grocery bags, a sign of a funny man near his armpit.	A man next to a police officer is walking away from another man.	Bir adam iki market torbası taşıyor, yakınındaki direğin yanında komik bir adamın işareti var.
STS2017	track6.tr-en	A child is in the middle of a crowd with their hands raised.	A woman and a man are in the middle of the crowd.	A child is in the middle of a crowd with their hands raised.	Bir kadın ve bir adam kalabalığın ortasında.
STS2017	track6.tr-en	Someone is doing something athletic while gesturing.	One person is rapping while someone else is looking at it.	Someone is doing something athletic while gesturing.	Bir kişi, başka biri ona bakarken rap yapıyor.
STS2017	track6.tr-en	A woman in a pink shirt examines her camera.	She looks at a woman with a black shirt.	A woman in a pink shirt examines her camera.	Siyah gömlekli bir kadın kamerasına bakar.
STS2017	track6.tr-en	He is lost and not aware of what he's doing.	The man feels that he will get a better idea of how his hat will stop from above.	He is lost and not aware of what he's doing.	adam, yukarıdan şapkasının nasıl duracağına dair daha iyi bir fikir edineceğini hissediyor.
STS2017	track6.tr-en	the boy jump kicks off the dock	A child's splash falls down the pond.	the boy jump kicks off the dock	Bir çocuğun sıçraması iskeleyi göle düşürür.
STS2017	track6.tr-en	A male athlete falls after jumping a hurdle, into water, while people take pictures.	Three boys sit in a public place and make jumping moves while watching them.	A male athlete falls after jumping a hurdle, into water, while people take pictures.	Üç çocuk umumi bir yerde bir adam oturup onları seyrederken zıplama hareketleri yapar.
STS2017	track6.tr-en	An older man in a dark shirt is resting his chin on his hand while writing on a newspaper.	A boy with a letter in his hand is standing in the store.	An older man in a dark shirt is resting his chin on his hand while writing on a newspaper.	Elinde bir yazı olan bir çocuk mağazada ayakta duruyor.
STS2017	track6.tr-en	People are sitting on a park bench while there are 3 pictures visible in the foreground.	Three people are sitting on the edge.	People are sitting on a park bench while there are 3 pictures visible in the foreground.	Üç insan kenarda oturuyor.
STS2017	track6.tr-en	A large chorus erupts.	A huge crowd is dancing crazy in front of a heavy rock band.	A large chorus erupts.	Kocaman bir kalabalık, bir heavy rock grubunun önünde çılgınca dans ediyor.
STS2017	track6.tr-en	Two police talk together in the middle of the road.	The two girls are not in the middle of the road.	Two police talk together in the middle of the road.	İki kız yolun ortasında değil.
STS2017	track6.tr-en	Two men are using shovels to dig.	Two men are using hand shovels to dig.	Two men are using shovels to dig.	İki adam kazmak için el kürekleri kullanıyor.
STS2017	track6.tr-en	Several people are standing in front of a stadium.	Two people are in front of a crowd.	Several people are standing in front of a stadium.	İki insan bir kalabalığın önünde.
STS2017	track6.tr-en	The man is sitting in the park.	The woman is resting in the park.	The man is sitting in the park.	Kadın, parkta dinleniyor.
STS2017	track6.tr-en	A woman and man on a bench.	A man and a woman sitting in a bank.	A woman and man on a bench.	Bankta oturan bir adam ve bir kadın.
STS2017	track6.tr-en	A couple walks through the rain with their child holding umbrellas.	Two girls who walk their way through the fountains.	A couple walks through the rain with their child holding umbrellas.	İnsanlar yanlarından yürürken ellerini çeşmeye sokan iki kız.
STS2017	track6.tr-en	People have gathered to watch an event.	People were gathered to watch a concert.	People have gathered to watch an event.	İnsanlar bir konseri izlemek için toplandı.
STS2017	track6.tr-en	The girl in purple is followed by the girl in pink	Purple sister, sister of red-eyed sister.	The girl in purple is followed by the girl in pink	Mor mayolu kız, kırmızı gözlüklü kızın ablası.
STS2017	track6.tr-en	A tall person in midair.	A person with a fancy face is in the air.	A tall person in midair.	Süslü bir yüzü olan bir kişi havada.
STS2017	track6.tr-en	Adults are watching their children play.	The three girls are looking up.	Adults are watching their children play.	Üç kız yukarı bakıyor.
STS2017	track6.tr-en	Two girls are crying because a boy kicked them in the shin.	The boy and the girl are holding hands.	Two girls are crying because a boy kicked them in the shin.	Oğlan ve kız el ele tutuşuyor.
STS2017	track6.tr-en	A man bikes down the street.	A man drives down the street.	A man bikes down the street.	Bir adam sokağın aşağısına doğru sürer.
STS2017	track6.tr-en	The diver is in the ocean.	The man is swimming in the middle of the ocean in the North Sea.	The diver is in the ocean.	Adam, Kuzey Buz Denizi'nde okyanusun ortasında yüzüyor.
STS2017	track6.tr-en	People watching an interesting thing.	Three people watch a man doing something.	People watching an interesting thing.	Üç kişi, bir adamı bir şey yaparken izliyor.
STS2017	track6.tr-en	People are sleeping inside.	People are sleeping inside.	People are sleeping inside.	İçeride insanlar uyuyor.
STS2017	track6.tr-en	There are a lot of people riding bikes.	Some people walk, sit or bike.	There are a lot of people riding bikes.	Bazı insanlar yürüyor, oturuyor veya bisiklet sürüyor.
STS2017	track6.tr-en	A man is helping a lady put her goods in baskets.	A young man sells cookies with the help of his wife at the farmer's market.	A man is helping a lady put her goods in baskets.	Genç bir adam, çiftçi marketinde eşinin yardımıyla kurabiyelerini satıyor.
STS2017	track6.tr-en	A woman who is wearing a vest is on a subway.	A man wearing a vest is on a subway.	A woman who is wearing a vest is on a subway.	Yelek giyen bir adam bir metroda.
STS2017	track6.tr-en	A boy is swimming in the ocean on a sunny day.	A man who surfs the ocean in a sunny day.	A boy is swimming in the ocean on a sunny day.	güneşli bir günde okyanusta sörf yapan bir adam.
STS2017	track6.tr-en	A man is in his pajamas watching TV.	A man is sitting in his chair and watching television.	A man is in his pajamas watching TV.	Bir adam, koltuğunda oturarak televizyon izliyor.
STS2017	track6.tr-en	Two children read in bed.	Mother and three children sleep at home.	Two children read in bed.	Anne ve üç çocuğu evde uyuyor.
STS2017	track6.tr-en	A bar with signs advertising beers such as Bud Light and Corona.	The name of the brown beer bottle is Winter Hook.	A bar with signs advertising beers such as Bud Light and Corona.	Kahverengi bira şişesinin adı Winter Hook'tur.
STS2017	track6.tr-en	the woman holds something	The man holds something.	the woman holds something	Adam bir şey tutar.
STS2017	track6.tr-en	Three people play cards.	Some people are playing a card game.	Three people play cards.	Bazı insanlar bir kart oyunu oynuyor.
STS2017	track6.tr-en	A hiker is on the bottom of a hillside.	A man climbs to the side of the mountain.	A hiker is on the bottom of a hillside.	Bir adam dağın yan tarafına tırmanıyor.
STS2017	track6.tr-en	A young man works for a museum.	A young man and woman are in a museum.	A young man works for a museum.	Genç bir adam ve kadın bir müzede.
STS2017	track6.tr-en	A teenage boy jumps into a pool in a tropical locale.	A girl dives into the pool.	A teenage boy jumps into a pool in a tropical locale.	Bir kız havuza dalış yapar.
STS2017	track6.tr-en	Two men sitting in a doorway working on something.	Two men standing on a wooden patio looking at a woman in a dress talking to them.	Two men sitting in a doorway working on something.	Onlarla konuşan elbiseli bir kadına bakan ahşap patikada ayakta duran iki adam.
STS2017	track6.tr-en	James likes to pray in church.	Father and son in church.	James likes to pray in church.	Baba ve oğul kilisede.
STS2017	track6.tr-en	A man is surfing in the Atlantic Ocean.	A person surfing the ocean.	A man is surfing in the Atlantic Ocean.	Okyanusta sörf yapan bir kişi.
STS2017	track6.tr-en	The men shoveled the snow.	The men shoveled it.	The men shoveled the snow.	Adamlar kürekle kazdı.
STS2017	track6.tr-en	The man is riding a hover board through the streets.	The guy in the bike rides on the street.	The man is riding a hover board through the streets.	Bisikletteki adam sokakta bisiklet sürüyor.
STS2017	track6.tr-en	The mosaic workers were commissioned to design the tile floor.	The two white mosaic worker work on a detailed tiled floor.	The mosaic workers were commissioned to design the tile floor.	Beyaz ceketli iki mozaik işçisi ayrıntılı bir şekilde tasarlanmış fayans zemin üzerinde çalışır.
STS2017	track6.tr-en	There is a man wearing a shirt.	There's a man wearing a blue shirt.	There is a man wearing a shirt.	Mavi bir gömlek giyen bir adam var.
STS2017	track6.tr-en	Two police officers on scooters turn back towards the camera.	The two horseman police officers are moving down the street.	Two police officers on scooters turn back towards the camera.	iki atlı polis memuru sokağın aşağısına ilerliyor.
STS2017	track6.tr-en	A teacher's assistant grades papers in a coffee shop.	The man works in a store.	A teacher's assistant grades papers in a coffee shop.	Adam bir mağazada çalışır.
STS2017	track6.tr-en	The big dog is chasing a ball.	The little dog is chasing a ball.	The big dog is chasing a ball.	Küçük köpek bir topu kovalıyor.
STS2017	track6.tr-en	The man is holding a tube.	The man holds the microphone for the woman.	The man is holding a tube.	Adam, kadın için mikrofonu tutuyor.
STS2017	track6.tr-en	A clown is preparing to do surgery.	A baby is having a good time.	A clown is preparing to do surgery.	Bir bebek, güzel vakit geçiriyor.
STS2017	track6.tr-en	The man in a green shirt is waiting for them to deliver his brush shredding machine.	A red-haired man protects himself from the sun while trying to read a piece of paper.	The man in a green shirt is waiting for them to deliver his brush shredding machine.	Kırmızı ceketli bir adam bir kağıt parçasını okumaya çalışırken kendini güneşten koruyor.
STS2017	track6.tr-en	A man wearing a pink shirt is riding the subway.	The guy in the line is wearing a blue shirt	A man wearing a pink shirt is riding the subway.	Trendeki adam mavi bir gömlek giyiyor
STS2017	track6.tr-en	Two dogs, one holding a ball.	Two dogs and a ball.	Two dogs, one holding a ball.	İki köpek ve bir top.
STS2017	track6.tr-en	The older woman is feeding oranges to the man.	A woman and a boy are in the water.	The older woman is feeding oranges to the man.	Bir kadın ve oğlan suyun içinde.
STS2017	track6.tr-en	Three kids sit and listen to a librarian read a story.	Children sit down and listen to a story.	Three kids sit and listen to a librarian read a story.	Çocuklar oturur ve bir hikaye dinler.
STS2017	track6.tr-en	A guy in a white shirt is holding some wires, and tools.	A man in a white shirt is holding a few wires.	A guy in a white shirt is holding some wires, and tools.	Beyaz gömlekli bir adam birkaç kablo tutuyor.
STS2017	track6.tr-en	There is a man in a beret and a woman in a pink coat.	There's a black man with a black hat.	There is a man in a beret and a woman in a pink coat.	Siyah paltolu bir adam var.
STS2017	track6.tr-en	A group of people cheering for a statue of Barack obama	People are holding a crest	A group of people cheering for a statue of Barack obama	insanlar bir sancağı tutuyor
STS2017	track6.tr-en	A woman sitting in a pool holding a martini with a baby laying next to her.	A picnic table where a woman is sitting and has a baby carriage next to her.	A woman sitting in a pool holding a martini with a baby laying next to her.	Bir kadının oturduğu ve yanında bebek arabası bulunan bir piknik masası.
STS2017	track6.tr-en	The dogs are walking.	The dogs are sitting.	The dogs are walking.	Köpekler oturuyor.
STS2017	track6.tr-en	There are boys outdoors.	There are girls out there.	There are boys outdoors.	Dışarıda kızlar var.
STS2017	track6.tr-en	A group of ladies in the cold cheer with American flags.	During the parade, a group of red and white cheerleaders kept morimizen high.	A group of ladies in the cold cheer with American flags.	Geçit töreni sırasında bir grup kırmızılı ve beyazlı amigo kız moralimizi yüksek tuttu.
STS2017	track6.tr-en	A group of male and female cheerleaders are outside cheering for the football team.	A young group of friends is cheering on the football team.	A group of male and female cheerleaders are outside cheering for the football team.	Genç bir arkadaş grubu futbol takımına tezahürat yapıyor.
STS2017	track6.tr-en	A couple attempting to establish telephone communications.	One person is checking his e-mail on a charged mobile phone.	A couple attempting to establish telephone communications.	Bir kişi, şarj olan bir cep telefonunda e-postasını kontrol ediyor.
STS2017	track6.tr-en	A bird flying over a desert.	A bunch of goose landing in a field.	A bird flying over a desert.	Bir alana iniş yapan bir kaz sürüsü.
STS2017	track6.tr-en	A white dog and a brown dog running across a grassy field.	A black dog running on a grassy field and a white and brown dog	A white dog and a brown dog running across a grassy field.	Çimenlik bir alanda koşan siyah bir köpek ile beyaz ve kahverengi bir köpek
STS2017	track6.tr-en	A man is playing a game on his laptop.	A young boy makes a hundred words while playing in a game console.	A man is playing a game on his laptop.	Genç bir oğlan, bir oyun konsolunda oynarken bir yüz ifadesi yapar.
STS2017	track6.tr-en	Young man attempts to repair wiring job.	A man is trying to repair his computers.	Young man attempts to repair wiring job.	Bir adam bilgisayarlarını tamir etmeye çalışıyor.
STS2017	track6.tr-en	A statue with with a bit of wear.	A man wearing a black hat and wearing glasses is looking at an object in his hand.	A statue with with a bit of wear.	Siyah bir şapka giyen ve gözlük takan bir adam elindeki bir nesneye bakıyor.
STS2017	track6.tr-en	Man riding a bicycle in New York	The man who rides in New York.	Man riding a bicycle in New York	New York'ta bisiklet süren adam.
STS2017	track6.tr-en	A man in a brown hat is helping a man with no hair up off the ground.	A large man with a jacket and a hat is holding something toward his ear.	A man in a brown hat is helping a man with no hair up off the ground.	Ceketli ve şapkalı geniş bir adam, bir şeyi kulağına doğru tutuyor.
STS2017	track6.tr-en	The man jumps on the ground and dances.	Adam is dancing on the floor	The man jumps on the ground and dances.	Adam zeminde dans ediyor
STS2017	track6.tr-en	A man is sleeping and a clown is in front of him.	There is a girl in front of a man.	A man is sleeping and a clown is in front of him.	Bir adamın önünde bir kız var.
STS2017	track6.tr-en	Two bicyclists are running over a hill while carrying their bicycles.	The men are dirt roads with small motorcycles.	Two bicyclists are running over a hill while carrying their bicycles.	Adamlar, küçük motosikletleriyle toprak yoldalar.
STS2017	track6.tr-en	Men are hiking a mountain.	Two people walking near a waterfall.	Men are hiking a mountain.	Bir şelalenin yakınında yürüyüş yapan iki kişi.
STS2017	track6.tr-en	The sad lady in the blue shirt is waiting to cross the busy street.	A man with a blue shirt is waiting to cross the crowded street.	The sad lady in the blue shirt is waiting to cross the busy street.	Mavi gömlekli bir adam kalabalık sokakta karşıya geçmek için bekliyor.
STS2017	track6.tr-en	Some people are in an inflatable raft.	There are some people on the raft.	Some people are in an inflatable raft.	Salda bazı insanlar var.
STS2017	track6.tr-en	Friends are partying with e new band	The two boys smile while talking to their fathers with video.	Friends are partying with e new band	İki çocuk, görüntülü sohbette babalarıyla konuşurken gülümsüyor.
STS2017	track6.tr-en	A man is sitting at a table while playing poker.	A woman is sitting in the casino at the desk and playing twenty-one.	A man is sitting at a table while playing poker.	Bir kadın, kumarhanede masada oturuyor ve yirmi bir oynuyor.
STS2017	track6.tr-en	A young boy brushes the teeth of a fake alligator.	It's a kid who's holding onto a fake crocodile's tail.	A young boy brushes the teeth of a fake alligator.	Sahte bir timsahın kuyruğuna tutunan bir çocuk.
STS2017	track6.tr-en	An old woman is walking by a building with graffiti on it.	A woman is walking near a building.	An old woman is walking by a building with graffiti on it.	Bir kadın bir binanın yanından yürüyor.
STS2017	track6.tr-en	boy scouts play a game	A boy is playing baseball	boy scouts play a game	bir oğlan beysbol oynuyor
STS2017	track6.tr-en	the old man is thinking hard	An old man is cutting something.	the old man is thinking hard	Yaşlı bir adam bir şey kesiyor.
STS2017	track6.tr-en	three sports persons posing for the photo	Three athletes posing for photo	three sports persons posing for the photo	Üç atlet fotoğraf için poz veriyor
STS2017	track6.tr-en	A vehicle is parked.	He parked a car outside.	A vehicle is parked.	Dışarıda bir araç park etmiş.
STS2017	track6.tr-en	a group of rabbits eat carrots	A group of dogs lettuce	a group of rabbits eat carrots	bir grup köpek marul yer
STS2017	track6.tr-en	A group of musicians perform in front of six people.	The whole group is dancing in a bar	A group of musicians perform in front of six people.	Tüm grup, bir barda dans ediyor
STS2017	track6.tr-en	A line of spectators are betting on the race.	Two runners are tired at the end of a runway race.	A line of spectators are betting on the race.	İki koşucu, bir pist yarışının sonunda yorgun.
STS2017	track6.tr-en	There is a person ready to compete in a swimming competition.	A man is swimming alone in a private pool.	There is a person ready to compete in a swimming competition.	Bir adam, özel bir havuzda tek başına yüzüyor.
STS2017	track6.tr-en	A boy throwing a yellow baseball.	A boy with a baseball bat, shouting.	A boy throwing a yellow baseball.	Beyzbol sopası olan, bağıran bir çocuk.
STS2017	track6.tr-en	Two men are playing pool for money.	Three guys are having fun in the pool.	Two men are playing pool for money.	Üç adam havuzda eğleniyor.
STS2017	track6.tr-en	A child is holding a trident.	A child is holding a gun.	A child is holding a trident.	Bir çocuk bir silah tutuyor.
STS2017	track6.tr-en	a young man wearing a blue shirt with a strange white building in the background	A young woman wearing a blue shirt is holding a green object next to her desk in her home.	a young man wearing a blue shirt with a strange white building in the background	Mavi gömlek giyen genç bir kadın, evindeki masanın yanında yeşil bir nesne tutuyor.
STS2017	track6.tr-en	workers tend to a transit stop	People expect a train to come.	workers tend to a transit stop	İnsanlar bir trenin gelmesini bekliyor.
STS2017	track6.tr-en	A boy is in a tree.	A child in the tree.	A boy is in a tree.	Ağaçta kalan bir çocuk.
STS2017	track6.tr-en	A man is reading a news article.	A woman is reading a newspaper.	A man is reading a news article.	Bir kadın bir gazete okuyor.
STS2017	track6.tr-en	Working all night.	The three dogs are each other's best friends and they run and play together every day.	Working all night.	Üç köpek birbirlerinin en iyi arkadaşıdır ve her gün birlikte koşup oynarlar.
STS2017	track6.tr-en	Women in a sewing factory with red fabric.	Two women are wearing clothes in the factory.	Women in a sewing factory with red fabric.	İki kadın fabrikada kıyafet dikiyor.
STS2017	track6.tr-en	An Asian woman waiting for the show to begin.	People are expecting for the show.	An Asian woman waiting for the show to begin.	İnsanlar gösteri için beklenti halindeler.
STS2017	track6.tr-en	A man is standing on the rocky ground in front of the mountain.	The man stands in front of the ocean.	A man is standing on the rocky ground in front of the mountain.	Adam, okyanusun önünde durur.
STS2017	track6.tr-en	A woman on a beach at sunset is suspended in the air.	A child was thrown into the air on the beach.	A woman on a beach at sunset is suspended in the air.	Bir çocuk, sahilde havaya atıldı.
STS2017	track6.tr-en	kayaker feel happy	Nobody cries	kayaker feel happy	Kimse ağlamıyor
STS2017	track6.tr-en	The old man and the sea are part of this scene.	The man and the boy are standing in the grass.	The old man and the sea are part of this scene.	Adam ve çocuk çölde ayakta duruyor.
STS2017	track6.tr-en	People and a dresser are waiting at a bus stop in front of a brick building.	A red brick building on a street with very few people and a bicycle next to its door.	People and a dresser are waiting at a bus stop in front of a brick building.	Çok az insanın olduğu bir sokakta bulunan ve kapısının yanında bir bisiklet olan kırmızı tuğlalı bina.
STS2017	track6.tr-en	The surfers are wearing wetsuits.	They're wearing shorts.	The surfers are wearing wetsuits.	Şort mayo giyiyorlar.
STS2017	track6.tr-en	A couple of men are sailing a boat.	A few boys are pulling their shovels.	A couple of men are sailing a boat.	Birkaç erkek kayığın küreklerini çekiyor.
STS2017	track6.tr-en	The people are really aliens.	People are looking for something.	The people are really aliens.	İnsanlar bir şey arıyor.
STS2017	track6.tr-en	The man is sleeping during his job	A man who is resting after the stomach.	The man is sleeping during his job	İşten sonra dinlenen bir adam.
STS2017	track6.tr-en	the train tracks are broken	Train rail is wood.	the train tracks are broken	Tren rayları ahşap.
STS2017	track6.tr-en	A blond woman with a pink shirt and black leather pants holds a camera on a running track.	A man wearing a black jacket and jeans that set up the scene.	A blond woman with a pink shirt and black leather pants holds a camera on a running track.	Sahneyi kuran siyah ceket ve kot pantolon giyen bir adam.
STS2017	track6.tr-en	A baby crawling all over their father excitedly.	The two children bring their hands together and pass under another child's hands.	A baby crawling all over their father excitedly.	İki çocuk ellerini bir araya getirir ve başka bir çocuk ellerinin altından geçer.
STS2017	track6.tr-en	A snowboarder in green grinds along the edge of a rail at night.	It's in the air after a man in green on a green bicycle jumps off the ramp.	A snowboarder in green grinds along the edge of a rail at night.	Yeşil bir bisikletteki yeşil giymiş bir adam rampadan atladıktan sonra havada.
STS2017	track6.tr-en	Two kids cleaning up their room	Children doing cleaning	Two kids cleaning up their room	Çocuklar temizlik yapıyor
STS2017	track6.tr-en	A little girl is playing with some dough.	A little girl plays with a water ball and laughs.	A little girl is playing with some dough.	Küçük bir kız bir su topuyla oynar ve kahkaha atar.
STS2017	track6.tr-en	on of the boys is performing an ollie	The boy is playing with the fountain.	on of the boys is performing an ollie	Çocuk, çeşmede oynuyor.
STS2017	track6.tr-en	People walk down a street during a sunny day.	People walking down the street on a sunny day.	People walk down a street during a sunny day.	Güneşli bir günde sokakta yürüyen insanlar.
STS2017	track6.tr-en	Workers are busy at their job.	Workers are out at night to do their jobs.	Workers are busy at their job.	İşçiler, işlerini yapmak üzere gece dışarıdalar.
STS2017	track6.tr-en	A young Asian boy is waving a sparkler around at night.	A man and a woman are watching a parade at home	A young Asian boy is waving a sparkler around at night.	Bir adam ve bir kadın evde bir geçit törenini izliyor
STS2017	track6.tr-en	A man in a suit by a stoplight.	A man in a blue suit next to a traffic light.	A man in a suit by a stoplight.	Trafik lambasının yanında mavi takım elbiseli bir adam.
STS2017	track6.tr-en	The musicians are practicing in an empty room.	The musicians are practicing in a private room.	The musicians are practicing in an empty room.	Müzisyenler, özel bir odada alıştırma yapıyor.
STS2017	track6.tr-en	The young boy reaching for the baton from the girl as he runs the relay race.	The kid surfed for the first time.	The young boy reaching for the baton from the girl as he runs the relay race.	Çocuk ilk defa sörf yaptı.
STS2017	track6.tr-en	Two peope are sitting outdoors.	There are three men walking outside	Two peope are sitting outdoors.	Dışarıda yürüyen üç adam var
STS2017	track6.tr-en	An art gallery is being set up.	A man is painting for the art gallery.	An art gallery is being set up.	Bir adam, sanat galerisi için resim yapıyor.
STS2017	track6.tr-en	An accident between two automobiles has grabbed people's attention.	Two cars got into the accident.	An accident between two automobiles has grabbed people's attention.	Kazaya iki araba karıştı.
STS2017	track6.tr-en	The leotard is red.	The hat is white.	The leotard is red.	Şapka beyaz.
STS2017	track6.tr-en	A boy is being chased through a toy tunnel by a dog.	The child is chased by a dog.	A boy is being chased through a toy tunnel by a dog.	Çocuk bir köpek tarafından kovalanıyor.
STS2017	track6.tr-en	A windsurfer dressed in teal is on his boogie board.	A man with a Mohawk-style haircut and a surfer's shorts is standing on the beach half-surfed.	A windsurfer dressed in teal is on his boogie board.	Mohawk stili saç kesimi ve sörfçü şortu olan bir adam sahilde yarım sörf tahtasında duruyor.
STS2017	track6.tr-en	a person is with a cute child	A man is a woman with a lovely child.	a person is with a cute child	Bir adam, sevimli bir çocuğu olan bir kadın.
STS2017	track6.tr-en	Two people look up towards a gold statue.	Two kids climbing a statue.	Two people look up towards a gold statue.	İki çocuk bir heykelin eline tırmanıyor.
STS2017	track6.tr-en	People making music together	People who make music together.	People making music together	Birlikte müzik yapan insanlar.
STS2017	track6.tr-en	A photographer takes pictures of a family that includes four children and two parents	A mother and two children are taking family photos.	A photographer takes pictures of a family that includes four children and two parents	Bir anne ve iki çocuğu aile fotoğrafı çekiyor.
STS2017	track6.tr-en	Some men doing volunteer work at the park.	The men work.	Some men doing volunteer work at the park.	Adamlar işteler.
STS2017	track6.tr-en	A man imitates Superman.	The guy is wearing a spider-man costume	A man imitates Superman.	Adam, bir örümcek adam kostümü giyiyor
STS2017	track6.tr-en	A boy is relaxing on the beach.	A boy is walking on the beach.	A boy is relaxing on the beach.	Bir oğlan sahilde yürüyor.
STS2017	track6.tr-en	A group of people are waiting to see a rock concert.	A group of people watch the performance of a music group.	A group of people are waiting to see a rock concert.	Bir grup insan bir müzik grubunun performansını izliyor.
STS2017	track6.tr-en	Motorcyclists taking a break.	Two cyclists giving a break.	Motorcyclists taking a break.	Mola veren iki bisikletçi.
STS2017	track6.tr-en	A competitive runner taking her first sprint in a competition.	The athlete competes in a long jump encounter.	A competitive runner taking her first sprint in a competition.	Atlet, uzun atlama karşılaşmasında yarışıyor.
STS2017	track6.tr-en	A boy is wearing an all black outfit.	A black and wrapped man on a horse is talking to someone wearing red.	A boy is wearing an all black outfit.	Bir atın üzerindeki siyahlı ve sarılı bir adam, kırmızı giyen bir kişiyle konuşuyor.
STS2017	track6.tr-en	The woman is wearing a ballcap.	The girl wears a baseball hat.	The woman is wearing a ballcap.	Kız, bir beysbol şapkası takıyor.
STS2017	track6.tr-en	The construction workers appear through a wooden fence.	A few workers standing in a partially built building behind the street sign	The construction workers appear through a wooden fence.	sokak tabelasının arkasındaki kısmen inşa edilmiş bir binada duran birkaç işçi
STS2017	track6.tr-en	lady and man sitting on couch reading in sweats	A young pajamas sleeping on the couch.	lady and man sitting on couch reading in sweats	Kanepede uyuyan pijamalı genç bir oğlan.
STS2017	track6.tr-en	A rock climber with a white helmet is repelling.	A person with a white helmet is climbing on a rock.	A rock climber with a white helmet is repelling.	Beyaz kasklı bir kişi kayalara tırmanıyor.
STS2017	track6.tr-en	People strolling casually across a bridge.	Two people walk randomly in the abandoned street.	People strolling casually across a bridge.	İki kişi terk edilen sokakta gelişigüzel yürür.
STS2017	track6.tr-en	A man in a khaki colored uniform carries a brunette woman in white clothing on his shoulder.	A woman in a red shirt is attaching a blue blaze to a white shirt woman younger than her.	A man in a khaki colored uniform carries a brunette woman in white clothing on his shoulder.	Kırmızı gömlekli bir kadın, kendisinden daha genç olan beyaz gömlekli bir kadını mavi bir mata iliştiriyor.
STS2017	track6.tr-en	A coach smiles at a player.	A coach stays with his players together.	A coach smiles at a player.	Bir koç, oyuncularıyla birlikte kenarda durur.
